Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,Enr,13,,,,,11,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,App,90,3,2,51,6,20,,1
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Adm,63,,,36,3,14,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Enr,48,,,27,3,12,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,App,32,,2,2,1,22,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Adm,23,,,,,15,3,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Enr,19,,,,,12,3,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,App,3,1,,1,,,,1
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Adm,,,,,,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Enr,,,,,,,,
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,App,128,22,1,42,39,5,,9
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Adm,103,14,,33,33,5,,8
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Enr,78,11,,26,23,3,9,6
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,App,18,1,,4,3,10,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Adm,12,,,3,,6,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Enr,8,,,,,5,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,App,174,13,1,23,73,58,,1
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Adm,124,9,,15,51,44,3,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Enr,103,9,,14,41,35,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,App,95,1,3,36,8,41,,3
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Adm,62,,,26,4,27,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Enr,54,,,25,4,22,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,App,159,4,5,25,7,104,,1
