Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Adm,502,5,,230,131,,16,117
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Enr,335,3,,129,97,,,93
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,App,786,75,4,287,220,137,,47
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Adm,582,49,,217,159,102,,40
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Enr,405,29,,146,122,69,,30
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,App,157,6,1,43,90,8,,6
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Adm,121,3,,35,71,5,,5
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Enr,89,,,22,58,3,,3
FEATHER RIVER COLLEGE4318,FEATHER RIVER COLLEGE,Quincy,Plumas,App,7,,,,1,6,,
FEATHER RIVER COLLEGE4318,FEATHER RIVER COLLEGE,Quincy,Plumas,Adm,5,,,,,4,,
FEATHER RIVER COLLEGE4318,FEATHER RIVER COLLEGE,Quincy,Plumas,Enr,,,,,,,,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,App,225,14,3,34,50,109,,5
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Adm,175,10,3,27,39,84,,5
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Enr,146,7,3,21,34,70,,5
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,App,780,20,4,102,241,170,,220
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Adm,603,8,3,72,184,126,17,193
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Enr,443,6,,48,136,93,,144
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,App,134,16,1,56,25,30,3,3
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Adm,86,8,,36,16,21,,
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Enr,53,3,,23,11,12,,
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,App,467,17,3,157,172,88,,19
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Adm,356,13,,123,131,62,,17
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Enr,250,11,,82,96,41,,15
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,App,85,5,,50,8,18,,2
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Adm,60,4,,34,4,15,,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Enr,40,4,,19,4,11,,
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,App,619,9,2,97,58,395,,33
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Adm,462,4,,62,40,308,,26
